Date : 2024-08-28 00:52:38
Directory : /home/vash/anduril-1-vash
Total : 289 files,  29207 codes, 7622 comments, 5673 blanks, all 42502 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| hw/hank/emisar-d4                                                               |          4 |        115 |         54 |         56 |        225 |
| hw/hank/emisar-d4 (Files)                                                       |          3 |        109 |         47 |         53 |        209 |
| hw/hank/emisar-d4/219                                                           |          1 |          6 |          7 |          3 |         16 |
| hw/hank/emisar-d4k-3ch                                                          |          3 |        401 |        168 |        117 |        686 |
| hw/hank/emisar-d4s                                                              |          3 |         38 |         24 |         16 |         78 |
| hw/hank/emisar-d4s (Files)                                                      |          2 |         32 |         17 |         13 |         62 |
| hw/hank/emisar-d4s/219                                                          |          1 |          6 |          7 |          3 |         16 |
| hw/hank/emisar-d4sv2                                                            |          4 |        169 |        104 |         68 |        341 |
| hw/hank/emisar-d4sv2 (Files)                                                    |          3 |        161 |         99 |         65 |        325 |
| hw/hank/emisar-d4sv2/219                                                        |          1 |          8 |          5 |          3 |         16 |
| hw/hank/emisar-d4v2                                                             |          6 |        225 |        109 |         91 |        425 |
| hw/hank/emisar-d4v2 (Files)                                                     |          3 |        152 |         83 |         59 |        294 |
| hw/hank/emisar-d4v2/219                                                         |          1 |          6 |          5 |          4 |         15 |
| hw/hank/emisar-d4v2/nofet                                                       |          2 |         67 |         21 |         28 |        116 |
| hw/hank/noctigon-dm11                                                           |          7 |        324 |        232 |        143 |        699 |
| hw/hank/noctigon-dm11 (Files)                                                   |          2 |        108 |         86 |         46 |        240 |
| hw/hank/noctigon-dm11/boost                                                     |          3 |        169 |        123 |         76 |        368 |
| hw/hank/noctigon-dm11/nofet                                                     |          1 |         26 |         11 |         10 |         47 |
| hw/hank/noctigon-dm11/sbt90                                                     |          1 |         21 |         12 |         11 |         44 |
| hw/hank/noctigon-k1                                                             |          7 |        341 |        294 |        149 |        784 |
| hw/hank/noctigon-k1 (Files)                                                     |          3 |        126 |        102 |         60 |        288 |
| hw/hank/noctigon-k1/boost                                                       |          2 |        113 |         96 |         46 |        255 |
| hw/hank/noctigon-k1/sbt90                                                       |          2 |        102 |         96 |         43 |        241 |
| hw/hank/noctigon-k9.3                                                           |          3 |         54 |         49 |         30 |        133 |
| hw/hank/noctigon-k9.3 (Files)                                                   |          1 |         48 |         39 |         23 |        110 |
| hw/hank/noctigon-k9.3/219                                                       |          1 |          4 |          5 |          4 |         13 |
| hw/hank/noctigon-k9.3/nofet                                                     |          1 |          2 |          5 |          3 |         10 |
| hw/hank/noctigon-kr4                                                            |         11 |        267 |        221 |        114 |        602 |
| hw/hank/noctigon-kr4 (Files)                                                    |          3 |        149 |        105 |         62 |        316 |
| hw/hank/noctigon-kr4/219                                                        |          1 |          6 |          5 |          4 |         15 |
| hw/hank/noctigon-kr4/219b                                                       |          1 |          6 |          5 |          4 |         15 |
| hw/hank/noctigon-kr4/2ch                                                        |          2 |         13 |         37 |          9 |         59 |
| hw/hank/noctigon-kr4/boost                                                      |          2 |         20 |         44 |          8 |         72 |
| hw/hank/noctigon-kr4/nofet                                                      |          2 |         73 |         25 |         27 |        125 |
| hw/hank/noctigon-m44                                                            |          3 |        309 |        160 |        103 |        572 |
| hw/lumintop                                                                     |         14 |        482 |        309 |        217 |      1,008 |
| hw/lumintop/blf-gt                                                              |          2 |         81 |         51 |         40 |        172 |
| hw/lumintop/blf-gt-mini                                                         |          2 |         12 |         18 |          9 |         39 |
| hw/lumintop/fw3a                                                                |          5 |        169 |         59 |         69 |        297 |
| hw/lumintop/fw3a (Files)                                                        |          3 |        128 |         46 |         55 |        229 |
| hw/lumintop/fw3a/219                                                            |          1 |          8 |          3 |          4 |         15 |
| hw/lumintop/fw3a/nofet                                                          |          1 |         33 |         10 |         10 |         53 |
| hw/lumintop/fw3x-lume1                                                          |          5 |        220 |        181 |         99 |        500 |
| hw/lumintop/fw3x-lume1 (Files)                                                  |          4 |        217 |        175 |         96 |        488 |
| hw/lumintop/fw3x-lume1/rgbswap                                                  |          1 |          3 |          6 |          3 |         12 |
| hw/mateminco                                                                    |          6 |        231 |        137 |        123 |        491 |
| hw/mateminco/mf01-mini                                                          |          2 |         78 |         52 |         42 |        172 |
| hw/mateminco/mf01s                                                              |          2 |         78 |         46 |         40 |        164 |
| hw/mateminco/mt35-mini                                                          |          2 |         75 |         39 |         41 |        155 |
| hw/sofirn                                                                       |         19 |      1,097 |        567 |        438 |      2,102 |
| hw/sofirn/blf-lt1                                                               |          3 |        220 |        115 |         86 |        421 |
| hw/sofirn/blf-lt1-t1616                                                         |          3 |        268 |        110 |        101 |        479 |
| hw/sofirn/blf-q8                                                                |          2 |         40 |         31 |         21 |         92 |
| hw/sofirn/blf-q8-t1616                                                          |          2 |         99 |         71 |         47 |        217 |
| hw/sofirn/lt1s-pro                                                              |          3 |        268 |        140 |        103 |        511 |
| hw/sofirn/sc21-pro                                                              |          1 |          5 |          4 |          3 |         12 |
| hw/sofirn/sp10-pro                                                              |          3 |        161 |         74 |         65 |        300 |
| hw/sofirn/sp36                                                                  |          1 |         18 |         11 |          6 |         35 |
| hw/sofirn/sp36-t1616                                                            |          1 |         18 |         11 |          6 |         35 |
| hw/thefreeman                                                                   |         11 |        634 |        482 |        314 |      1,430 |
| hw/thefreeman/avr32dd20-devkit                                                  |          3 |        213 |        165 |        103 |        481 |
| hw/thefreeman/boost-fwaa-mp3432-hdr-dac-rgb                                     |          2 |        117 |        111 |         63 |        291 |
| hw/thefreeman/boost21-mp3431-hdr-dac-argb                                       |          3 |        168 |        124 |         86 |        378 |
| hw/thefreeman/lin16dac                                                          |          3 |        136 |         82 |         62 |        280 |
| hw/wurkkos                                                                      |         13 |        383 |        201 |        171 |        755 |
| hw/wurkkos (Files)                                                              |          1 |          9 |         10 |          8 |         27 |
| hw/wurkkos/fc13                                                                 |          2 |         11 |          5 |         10 |         26 |
| hw/wurkkos/ts10                                                                 |          4 |        192 |         98 |         75 |        365 |
| hw/wurkkos/ts10 (Files)                                                         |          3 |        147 |         75 |         60 |        282 |
| hw/wurkkos/ts10/rgbaux                                                          |          1 |         45 |         23 |         15 |         83 |
| hw/wurkkos/ts11                                                                 |          2 |         10 |          7 |          9 |         26 |
| hw/wurkkos/ts25                                                                 |          4 |        161 |         81 |         69 |        311 |
| ui                                                                              |         72 |     12,727 |      2,184 |      1,361 |     16,272 |
| ui/anduril                                                                      |         54 |      3,934 |      1,142 |        766 |      5,842 |
| ui/baton                                                                        |          1 |        134 |         42 |         13 |        189 |
| ui/darkhorse                                                                    |          1 |        265 |         71 |         32 |        368 |
| ui/fireflies-ui                                                                 |          5 |      1,859 |        403 |        220 |      2,482 |
| ui/meteor                                                                       |          1 |        403 |        114 |         40 |        557 |
| ui/momentary                                                                    |          1 |         47 |         21 |         13 |         81 |
| ui/ramping-ui                                                                   |          1 |        271 |         67 |         22 |        360 |
| ui/rampingios                                                                   |          5 |      5,275 |        199 |        179 |      5,653 |
| ui/werner                                                                       |          3 |        539 |        125 |         76 |        740 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                        | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/vash/anduril-1-vash/.github/workflows/compile.yml                         | YAML         |         41 |          9 |         11 |         61 |
| /home/vash/anduril-1-vash/ChangeLog.md                                          | Markdown     |        286 |          0 |         58 |        344 |
| /home/vash/anduril-1-vash/Makefile                                              | Makefile     |         10 |         12 |          7 |         29 |
| /home/vash/anduril-1-vash/README.md                                             | Markdown     |         96 |          0 |         58 |        154 |
| /home/vash/anduril-1-vash/arch/attiny1616.c                                     | C            |        133 |         61 |         37 |        231 |
| /home/vash/anduril-1-vash/arch/attiny1616.h                                     | C++          |         59 |         32 |         44 |        135 |
| /home/vash/anduril-1-vash/arch/attiny1634.c                                     | C            |        105 |         77 |         33 |        215 |
| /home/vash/anduril-1-vash/arch/attiny1634.h                                     | C++          |         47 |         28 |         38 |        113 |
| /home/vash/anduril-1-vash/arch/attiny85.c                                       | C            |        128 |         62 |         36 |        226 |
| /home/vash/anduril-1-vash/arch/attiny85.h                                       | C++          |         39 |         21 |         39 |         99 |
| /home/vash/anduril-1-vash/arch/avr32dd20.c                                      | C            |        118 |        113 |         36 |        267 |
| /home/vash/anduril-1-vash/arch/avr32dd20.h                                      | C++          |         47 |         28 |         41 |        116 |
| /home/vash/anduril-1-vash/arch/delay.h                                          | C++          |         42 |         14 |          3 |         59 |
| /home/vash/anduril-1-vash/arch/mcu.c                                            | C            |          4 |          3 |          4 |         11 |
| /home/vash/anduril-1-vash/arch/mcu.h                                            | C++          |         12 |          5 |          8 |         25 |
| /home/vash/anduril-1-vash/bin/build-all.sh                                      | Shell Script |         51 |         20 |         20 |         91 |
| /home/vash/anduril-1-vash/bin/build.sh                                          | Shell Script |         43 |         23 |         12 |         78 |
| /home/vash/anduril-1-vash/bin/dac-scale.py                                      | Python       |         55 |         19 |         16 |         90 |
| /home/vash/anduril-1-vash/bin/detect-mcu.sh                                     | Shell Script |         35 |          7 |          4 |         46 |
| /home/vash/anduril-1-vash/bin/dfp-install.sh                                    | Shell Script |         20 |          9 |          8 |         37 |
| /home/vash/anduril-1-vash/bin/flash-1616.py                                     | Python       |         49 |         13 |         17 |         79 |
| /home/vash/anduril-1-vash/bin/flash-avr32dd20.sh                                | Shell Script |         16 |         17 |          8 |         41 |
| /home/vash/anduril-1-vash/bin/flash-tiny1616.sh                                 | Shell Script |          7 |          5 |          3 |         15 |
| /home/vash/anduril-1-vash/bin/flash-tiny1634-fuses.sh                           | Shell Script |          1 |          7 |          2 |         10 |
| /home/vash/anduril-1-vash/bin/flash-tiny1634.sh                                 | Shell Script |          2 |          1 |          1 |          4 |
| /home/vash/anduril-1-vash/bin/flash-tiny85-fuses.sh                             | Shell Script |          1 |          6 |          2 |          9 |
| /home/vash/anduril-1-vash/bin/flash-tiny85.sh                                   | Shell Script |          2 |          1 |          1 |          4 |
| /home/vash/anduril-1-vash/bin/flash.sh                                          | Shell Script |         13 |          2 |          5 |         20 |
| /home/vash/anduril-1-vash/bin/level_calc.py                                     | Python       |        236 |         42 |         49 |        327 |
| /home/vash/anduril-1-vash/bin/make-release.sh                                   | Shell Script |         29 |         18 |         13 |         60 |
| /home/vash/anduril-1-vash/bin/models.py                                         | Python       |         74 |          7 |         24 |        105 |
| /home/vash/anduril-1-vash/bin/steps.py                                          | Python       |         33 |          7 |         12 |         52 |
| /home/vash/anduril-1-vash/bin/version-string.sh                                 | Shell Script |         38 |         12 |          9 |         59 |
| /home/vash/anduril-1-vash/docs/anduril-manual.md                                | Markdown     |        837 |          0 |        293 |      1,130 |
| /home/vash/anduril-1-vash/docs/anduril.svg                                      | XML          |      4,915 |          5 |          2 |      4,922 |
| /home/vash/anduril-1-vash/docs/per-user-config.md                               | Markdown     |          2 |          0 |          3 |          5 |
| /home/vash/anduril-1-vash/docs/starryalley-mod.md                               | Markdown     |         70 |          0 |         44 |        114 |
| /home/vash/anduril-1-vash/docs/which-hex-file.md                                | Markdown     |         17 |          0 |          8 |         25 |
| /home/vash/anduril-1-vash/fsm/adc.c                                             | C            |        287 |        116 |         60 |        463 |
| /home/vash/anduril-1-vash/fsm/adc.h                                             | C++          |         82 |         27 |         16 |        125 |
| /home/vash/anduril-1-vash/fsm/chan-aux.c                                        | C            |          5 |          3 |          4 |         12 |
| /home/vash/anduril-1-vash/fsm/chan-aux.h                                        | C++          |         15 |          4 |          7 |         26 |
| /home/vash/anduril-1-vash/fsm/chan-rgbaux.c                                     | C            |         23 |          3 |         10 |         36 |
| /home/vash/anduril-1-vash/fsm/chan-rgbaux.h                                     | C++          |         60 |          4 |          9 |         73 |
| /home/vash/anduril-1-vash/fsm/channels.c                                        | C            |        232 |         69 |         57 |        358 |
| /home/vash/anduril-1-vash/fsm/channels.h                                        | C++          |         88 |         29 |         25 |        142 |
| /home/vash/anduril-1-vash/fsm/eeprom.c                                          | C            |         80 |         14 |         19 |        113 |
| /home/vash/anduril-1-vash/fsm/eeprom.h                                          | C++          |         40 |         15 |         11 |         66 |
| /home/vash/anduril-1-vash/fsm/events.c                                          | C            |        109 |         66 |         24 |        199 |
| /home/vash/anduril-1-vash/fsm/events.h                                          | C++          |        152 |         35 |         35 |        222 |
| /home/vash/anduril-1-vash/fsm/main.c                                            | C            |         52 |         33 |         23 |        108 |
| /home/vash/anduril-1-vash/fsm/main.h                                            | C++          |          3 |          4 |          4 |         11 |
| /home/vash/anduril-1-vash/fsm/misc.c                                            | C            |        253 |         33 |         40 |        326 |
| /home/vash/anduril-1-vash/fsm/misc.h                                            | C++          |         37 |         16 |         13 |         66 |
| /home/vash/anduril-1-vash/fsm/pcint.c                                           | C            |         23 |         13 |         11 |         47 |
| /home/vash/anduril-1-vash/fsm/pcint.h                                           | C++          |          8 |          6 |          4 |         18 |
| /home/vash/anduril-1-vash/fsm/ramping.c                                         | C            |        190 |         44 |         31 |        265 |
| /home/vash/anduril-1-vash/fsm/ramping.h                                         | C++          |        116 |         32 |         23 |        171 |
| /home/vash/anduril-1-vash/fsm/random.c                                          | C            |          9 |          4 |          4 |         17 |
| /home/vash/anduril-1-vash/fsm/random.h                                          | C++          |          5 |          4 |          4 |         13 |
| /home/vash/anduril-1-vash/fsm/spaghetti-monster.h                               | C++          |         48 |         18 |         13 |         79 |
| /home/vash/anduril-1-vash/fsm/standby.c                                         | C            |         67 |         20 |         19 |        106 |
| /home/vash/anduril-1-vash/fsm/standby.h                                         | C++          |         31 |         24 |         14 |         69 |
| /home/vash/anduril-1-vash/fsm/states.c                                          | C            |         65 |         25 |         16 |        106 |
| /home/vash/anduril-1-vash/fsm/states.h                                          | C++          |         19 |          9 |         10 |         38 |
| /home/vash/anduril-1-vash/fsm/tk.h                                              | C++          |         14 |         19 |          8 |         41 |
| /home/vash/anduril-1-vash/fsm/wdt.c                                             | C            |         76 |         28 |         18 |        122 |
| /home/vash/anduril-1-vash/fsm/wdt.h                                             | C++          |         11 |          6 |          7 |         24 |
| /home/vash/anduril-1-vash/hw/fireflies/e01/anduril.h                            | C++          |         27 |         15 |         14 |         56 |
| /home/vash/anduril-1-vash/hw/fireflies/pl47/219/anduril.h                       | C++          |          6 |          5 |          3 |         14 |
| /home/vash/anduril-1-vash/hw/fireflies/pl47/anduril.h                           | C++          |         34 |         27 |         17 |         78 |
| /home/vash/anduril-1-vash/hw/fireflies/pl47/hwdef.h                             | C++          |         13 |          7 |          7 |         27 |
| /home/vash/anduril-1-vash/hw/fireflies/pl47g2/219/anduril.h                     | C++          |          6 |          5 |          3 |         14 |
| /home/vash/anduril-1-vash/hw/fireflies/pl47g2/anduril.h                         | C++          |         33 |         17 |         16 |         66 |
| /home/vash/anduril-1-vash/hw/fireflies/rot66/219/anduril.h                      | C++          |         10 |         11 |          4 |         25 |
| /home/vash/anduril-1-vash/hw/fireflies/rot66/anduril.h                          | C++          |         25 |         28 |         12 |         65 |
| /home/vash/anduril-1-vash/hw/fireflies/rot66/hwdef.h                            | C++          |         11 |          7 |          7 |         25 |
| /home/vash/anduril-1-vash/hw/fireflies/rot66g2/anduril.h                        | C++          |         32 |         16 |         10 |         58 |
| /home/vash/anduril-1-vash/hw/gchart/fet1-t1616/anduril.h                        | C++          |         29 |         19 |         14 |         62 |
| /home/vash/anduril-1-vash/hw/gchart/fet1-t1616/hwdef.h                          | C++          |         63 |         40 |         29 |        132 |
| /home/vash/anduril-1-vash/hw/hank/anduril.h                                     | C++          |          9 |         13 |          9 |         31 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/anduril.h                          | C++          |         44 |         37 |         21 |        102 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/anduril.h                      | C++          |         48 |         41 |         23 |        112 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/hwdef.c                        | C            |        152 |         13 |         42 |        207 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/hwdef.h                        | C++          |         88 |         64 |         27 |        179 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/README.md               | Markdown     |         16 |          0 |         10 |         26 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/anduril.h               | C++          |         47 |         44 |         23 |        114 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/hwdef.c                 | C            |         80 |         61 |         41 |        182 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/hwdef.h                 | C++          |         89 |         75 |         28 |        192 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/hwdef.c                            | C            |        142 |         11 |         41 |        194 |
| /home/vash/anduril-1-vash/hw/hank/emisar-2ch/hwdef.h                            | C++          |         85 |         68 |         27 |        180 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d1/anduril.h                           | C++          |          9 |          6 |          4 |         19 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d18/219/anduril.h                      | C++          |          8 |          5 |          4 |         17 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d18/anduril.h                          | C++          |         29 |         18 |         14 |         61 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d18/hwdef.h                            | C++          |         49 |         23 |         27 |         99 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d1s/anduril.h                          | C++          |          9 |          8 |          5 |         22 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d1v2/7135-fet/anduril.h                | C++          |         12 |         12 |          6 |         30 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d1v2/linear-fet/anduril.h              | C++          |         12 |         10 |          6 |         28 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d1v2/nofet/anduril.h                   | C++          |          8 |          9 |          5 |         22 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d3aa/anduril.h                         | C++          |         50 |         38 |         31 |        119 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d3aa/hwdef.c                           | C            |        116 |         48 |         39 |        203 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d3aa/hwdef.h                           | C++          |         91 |         98 |         39 |        228 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4/219/anduril.h                       | C++          |          6 |          7 |          3 |         16 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4/anduril.h                           | C++          |         22 |         13 |         12 |         47 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4/hwdef.c                             | C            |         38 |          6 |         16 |         60 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4/hwdef.h                             | C++          |         49 |         28 |         25 |        102 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4k-3ch/anduril.h                      | C++          |         45 |         37 |         23 |        105 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4k-3ch/hwdef.c                        | C            |        248 |         51 |         64 |        363 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4k-3ch/hwdef.h                        | C++          |        108 |         80 |         30 |        218 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4s/219/anduril.h                      | C++          |          6 |          7 |          3 |         16 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4s/anduril.h                          | C++          |         27 |         12 |          9 |         48 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4s/hwdef.h                            | C++          |          5 |          5 |          4 |         14 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/219/anduril.h                    | C++          |          8 |          5 |          3 |         16 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/anduril.h                        | C++          |         35 |         25 |         20 |         80 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/hwdef.c                          | C            |         45 |          8 |         15 |         68 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4sv2/hwdef.h                          | C++          |         81 |         66 |         30 |        177 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4v2/219/anduril.h                     | C++          |          6 |          5 |          4 |         15 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4v2/anduril.h                         | C++          |         32 |         16 |         15 |         63 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4v2/hwdef.c                           | C            |         39 |          8 |         15 |         62 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4v2/hwdef.h                           | C++          |         81 |         59 |         29 |        169 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4v2/nofet/anduril.h                   | C++          |         34 |         13 |         13 |         60 |
| /home/vash/anduril-1-vash/hw/hank/emisar-d4v2/nofet/hwdef.c                     | C            |         33 |          8 |         15 |         56 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-dm11/anduril.h                       | C++          |         41 |         25 |         21 |         87 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-dm11/boost/anduril.h                 | C++          |         44 |         29 |         19 |         92 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-dm11/boost/hwdef.c                   | C            |         49 |         24 |         27 |        100 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-dm11/boost/hwdef.h                   | C++          |         76 |         70 |         30 |        176 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-dm11/hwdef.h                         | C++          |         67 |         61 |         25 |        153 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-dm11/nofet/anduril.h                 | C++          |         26 |         11 |         10 |         47 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-dm11/sbt90/anduril.h                 | C++          |         21 |         12 |         11 |         44 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k1/anduril.h                         | C++          |         39 |         23 |         20 |         82 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k1/boost/anduril.h                   | C++          |         47 |         31 |         19 |         97 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k1/boost/hwdef.h                     | C++          |         66 |         65 |         27 |        158 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k1/hwdef.c                           | C            |         30 |         20 |         16 |         66 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k1/hwdef.h                           | C++          |         57 |         59 |         24 |        140 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k1/sbt90/anduril.h                   | C++          |         41 |         35 |         19 |         95 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k1/sbt90/hwdef.h                     | C++          |         61 |         61 |         24 |        146 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k9.3/219/anduril.h                   | C++          |          4 |          5 |          4 |         13 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k9.3/anduril.h                       | C++          |         48 |         39 |         23 |        110 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-k9.3/nofet/anduril.h                 | C++          |          2 |          5 |          3 |         10 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/219/anduril.h                    | C++          |          6 |          5 |          4 |         15 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/219b/anduril.h                   | C++          |          6 |          5 |          4 |         15 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/2ch/anduril.h                    | C++          |          4 |          6 |          4 |         14 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/2ch/hwdef.h                      | C++          |          9 |         31 |          5 |         45 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/anduril.h                        | C++          |         36 |         32 |         20 |         88 |
| /home/vash/anduril-1-vash/hw/hank/noctigon-kr4/boost/anduril.h                  | C++          |          4 |          7 |          3 |         14 |
